mention_id,mention_text,doc_id
1438_1, rocky target,1438
1438_2, different target,1438
1989_3, Dillinger target,1989
1989_4, for target,1989
1989_5, fluorine target,1989
1989_6, those target,1989
2038_7, Cumberland target,2038
2038_8, target,2038
2038_9, Hills target,2038
2038_10, Windjana target,2038
2893_11, the target,2893
1989_1, the target,1989
1989_2, Yarrada target,1989
2620_3, was target,2620
2620_4, a target,2620
2893_5, showing target,2893
2893_6,targets Stephen and Neil,2893
2893_7, rock target,2893
2893_8, these target,2893
2893_9, this target,2893
2893_10, Mondooma target,2893
2893_11, this target,2893
2893_12, Mn target,2893
1438_1, target,1438
2038_2, Hills target,2038
